RideID,DateKey,RideTime,ServiceType,RideStatus,SourceLocation,SourceAreaKey,DestinationLocation,DestAreaKey,DurationMin,DistanceKM,RideCharge,MiscCharge,TotalFare,PaymentMethod
RD2369646812729540,20240724,05:35:38.542646,bike,completed,Nagawara Dam,,Dommasandra Colony,,42,39.3,256.39,31.98,288.37,Paytm
RD8047989809002405,20240726,18:53:03.542646,bike,completed,Sonnenahalli Layout,,Kothanur Loop,,95,21.39,62.83,23.51,86.34,Paytm
RD3592571330485165,20240628,22:55:08.542646,auto,completed,Hulimavu Cutting,,HRBR Layout Valley,,37,48.12,811.27,41.32,852.59,Amazon Pay
RD8817673455871975,20240808,11:59:04.542646,auto,completed,Billekahalli Cove,,Hennur Road 1st Block,,42,2.36,188.04,46.52,234.56,GPay
RD1385843052752492,20240808,00:57:02.542646,parcel,completed,Banaswadi District,,Sadashiva Nagar Court,,50,37.5,473.87,13.24,487.11,Amazon Pay
RD7208906531384606,20240722,10:04:38.542646,parcel,completed,Hebbal Kempapura Ridge,2.0,Ramnagar 1st Stage,,104,3.04,617.35,33.34,650.69,Paytm
RD0654632158879742,20240703,01:01:29.542646,auto,completed,Rajarajeshwari Nagar Bridge,,ITI Layout Close,,11,9.52,306.79,44.68,351.47,GPay
RD2239177732142431,20240708,01:16:16.542646,cab economy,completed,Kudlu Gate Fields,,Subramanyapura Pass,,117,37.93,853.42,39.57,892.99,GPay
RD1117035760652729,20240701,07:18:36.542646,auto,completed,Byatarayanapura Plaza,,Koramangala 6th Block Ridge,5.0,46,21.6,907.37,20.55,927.92,GPay
RD4226811079858075,20240621,06:23:04.542646,bike,completed,Whitefield Hills,7.0,MG Road Hills,,49,12.8,131.29,29.98,161.26999999999998,GPay
RD1382587140891268,20240803,08:46:32.542646,auto,completed,Koramangala 4th Block Place,5.0,Jakkasandra Landing,,95,21.43,70.55,45.91,116.46,GPay
RD4382177005818484,20240629,01:00:58.542646,bike,completed,Balagere 1st Stage,,Sonnenahalli Lane,,105,29.09,221.09,27.5,248.59,QR scan
RD7958326265710860,20240702,04:10:03.542646,parcel,completed,Kothaguda Vista,,Bagalur Lane,,71,5.94,707.21,1.91,709.12,Paytm
RD1055432783395596,20240628,01:18:09.542646,cab economy,completed,Jakkur Meadows,,Rajarajeshwari Nagar Pass,,47,28.64,484.33,34.22,518.55,Paytm
RD8925634951822521,20240720,12:24:50.542646,cab economy,cancelled,Vidyaranyapura Summit,,Agara Mews,,48,7.05,,,,
RD3943555672355131,20240805,16:43:22.542646,bike,completed,Kaval Byrasandra Run,,Harohalli Fields,,60,45.35,731.36,39.42,770.78,QR scan
RD7321545592072979,20240706,11:05:31.542646,auto,cancelled,Chikkagubbi Village,,Horamavu Banaswadi Alcove,,118,9.25,,,,
RD4559266573098093,20240801,14:58:16.542646,cab economy,completed,HRBR Layout Terrace,,Dasarahalli Quay,,112,19.88,668.25,15.86,684.11,Paytm
RD1722345523604383,20240722,01:09:16.542646,cab economy,completed,JP Nagar 6th Block,,Ganganagar Cut,,88,10.31,164.02,20.01,184.03,Amazon Pay
RD5941720751250248,20240725,15:01:32.542646,bike,completed,Bellandur Ridge,,Devarachikkanahalli Heights,,76,33.64,811.76,14.11,825.87,Paytm
RD4046588375441329,20240812,15:44:06.542646,auto,completed,Kudlu Gate Farms,,Attibele Plaza,,51,3.33,399.65,49.05,448.7,Paytm
RD7350321719400471,20240723,10:50:48.542646,auto,completed,Rachenahalli Depot,,Madiwala Cut,,68,49.83,959.99,7.62,967.61,Amazon Pay
RD4144498193705965,20240810,21:19:50.542646,auto,completed,Dooravani Nagar Station,,Avalahalli Cove,,48,16.61,105.99,4.11,110.1,GPay
RD9772479317279932,20240728,17:55:30.542646,parcel,completed,Ramnagar Crescent,,Jayanagar Pier,4.0,53,41.25,221.95,21.74,243.69,Amazon Pay
RD7577082038350614,20240723,16:28:51.542646,auto,completed,Mahadevapura 2nd Block,,Chikkalasandra Pass,,91,49.17,177.7,38.45,216.15,Paytm
RD6340674467746910,20240708,04:44:56.542646,bike lite,completed,Bhuvaneshwari Nagar Trail,,Chandra Layout Alley,,83,45.44,808.37,22.93,831.3,Paytm
RD2235816582429647,20240723,16:31:17.542646,cab economy,completed,Doddaballapur District,,Sarjapur Farms,,28,17.52,485.28,9.32,494.6,QR scan
RD1217475833620683,20240624,07:24:54.542646,auto,completed,Chikkajala Quarry,,JP Nagar Trail,,95,21.4,421.35,38.34,459.69000000000005,Paytm
RD8131157570752979,20240722,22:37:33.542646,bike,completed,Whitefield District,7.0,Devarachikkanahalli Esplanade,,82,41.72,449.51,17.19,466.7,Paytm
RD2539243082211667,20240626,08:16:18.542646,auto,completed,Banashankari Viewpoint,,Bellandur Outer Ring Road Village,,34,36.47,82.59,37.1,119.69,Amazon Pay
RD1555077673954099,20240806,21:18:28.542646,auto,completed,Sarjapur Quarry,,Kengeri Close,,29,15.18,184.47,31.56,216.03,GPay
RD9106570890666222,20240727,05:56:36.542646,bike,cancelled,Munnekollal Square,,Koramangala 7th Block Landing,5.0,15,25.6,,,,
RD3499114958541606,20240623,13:01:37.542646,bike,completed,Koramangala 8th Block Court,5.0,Whitefield Yard,7.0,58,28.83,387.96,34.13,422.09,QR scan
RD5465696192903363,20240628,12:34:51.542646,bike lite,completed,Kudlu Gate Cove,,Hulimavu Fields,,93,44.43,314.92,17.6,332.52000000000004,Amazon Pay
RD4518928319915400,20240804,12:14:32.542646,bike lite,completed,Jakkur View,,Koramangala 4th Stage,5.0,114,49.64,448.98,38.46,487.44,GPay
RD2000076619721455,20240802,08:56:58.542646,cab economy,completed,Nayandahalli Meadows,,Horamavu Zone,,107,48.49,691.02,28.65,719.67,Amazon Pay
RD6532816509887593,20240707,05:18:40.542646,cab economy,completed,Bommanahalli Plaza,,Basavanagudi Pointe,,56,7.64,419.65,37.16,456.81,GPay
RD1904744635291394,20240704,17:55:31.542646,parcel,completed,Harohalli Fields,,Sanjay Nagar District,,38,16.27,381.23,47.65,428.88,Amazon Pay
RD8085277544074809,20240723,17:59:05.542646,bike,completed,Jayanagar Village,4.0,Hennur Farms,,13,19.98,195.8,6.89,202.69,GPay
RD8540894002304472,20240813,01:07:33.542646,bike,completed,Nagawara Nagar,,Chikkalasandra 4th Stage,,14,14.15,147.64,24.65,172.29,Amazon Pay
RD9207429821660459,20240624,08:16:15.542646,bike,completed,Hosur Fork,,Bommanahalli Passage,,117,18.06,925.96,31.0,956.96,GPay
RD8572097109759067,20240806,23:49:54.542646,auto,cancelled,Bikasipura Cut,,Chikkagubbi 2nd Stage,,68,22.79,,,,
RD7335910948713877,20240801,06:16:57.542646,bike,completed,Marathahalli Pointe,,Agara Drive,,118,41.25,476.62,7.8,484.42,QR scan
RD2580649401514739,20240726,21:45:48.542646,cab economy,completed,Kudlu District,,Bikasipura Trail,,75,27.42,954.78,36.66,991.44,QR scan
RD0651284665872375,20240803,15:25:44.542646,bike,completed,Agara Plaza,,HSR Layout Passage,,23,21.09,740.82,28.07,768.8900000000001,Amazon Pay
RD3822808658086783,20240630,00:38:35.542646,bike,completed,Anekal Landing,,Srirampura Esplanade,,115,12.07,708.14,44.5,752.64,GPay
RD6039948836070685,20240726,23:36:26.542646,bike,completed,Dodda Banaswadi Mews,,Chikka Banaswadi 6th Stage,,51,1.92,611.42,24.19,635.61,Paytm
RD6747610061454649,20240621,04:15:28.542646,auto,completed,Doddaballapur Place,,Sanjay Nagar Depot,,43,5.93,475.93,14.45,490.38,Paytm
RD6604285364799195,20240621,23:22:09.542646,bike,completed,Rachenahalli Park,,Bommanahalli Works,,60,11.96,726.12,11.37,737.49,Amazon Pay
RD7897341429308841,20240816,18:21:03.542646,bike,completed,Hosur Sarjapur Road Layout Place,,Jakkasandra Run,,20,43.53,70.97,48.15,119.12,GPay
RD8953828714822704,20240617,23:29:00.542646,bike lite,completed,Banashankari Harbor,,Shivaji Nagar Station,,55,13.1,225.49,4.68,230.17,Amazon Pay
RD7708304567842163,20240621,16:36:00.542646,auto,completed,Kadubeesanahalli Commons,,Ulsoor District,,18,31.67,684.15,19.18,703.3299999999999,Amazon Pay
RD6473338791702702,20240704,07:55:34.542646,bike,completed,Kalyan Nagar Pointe,,Nayandahalli Boulevard,,21,19.3,287.47,30.82,318.29,GPay
RD5731182308846565,20240728,05:18:58.542646,auto,completed,Basaveshwaranagar Pier,,Madiwala Harbor,,37,31.36,513.31,11.66,524.9699999999999,GPay
RD8742120338050819,20240729,03:15:49.542646,bike,completed,Naganathapura 1st Block,,Kaggalipura Circle,,115,45.56,64.05,43.41,107.46,Paytm
RD7689809289833095,20240629,12:21:33.542646,parcel,completed,Thanisandra Heights,,Anekal Cove,,12,11.78,812.5,35.62,848.12,Amazon Pay
RD2611926970493999,20240709,22:09:34.542646,cab economy,completed,Nagarbhavi Station,,Mahadevapura 4th Stage,,86,9.3,467.52,3.14,470.66,Paytm
RD1947303693704861,20240808,23:03:42.542646,parcel,completed,Kadugodi Hills,,Rachenahalli 5th Stage,,46,29.43,508.45,22.24,530.6899999999999,Paytm
RD5130685942665307,20240717,12:44:16.542646,auto,completed,Nagwara Cove,,Chikkajala Quarry,,100,20.88,74.28,44.69,118.97,Paytm
RD1215007444107331,20240624,17:40:08.542646,auto,completed,Horamavu Square,,Anjanapura Viewpoint,,47,8.43,228.22,48.06,276.28,QR scan
RD7203293909847425,20240620,20:30:09.542646,bike,completed,Kanaka Nagar Arc,,Sarjapur Cross,,15,21.6,315.6,42.39,357.99,Paytm
RD9943873741408455,20240619,11:21:19.542646,bike,completed,RMV 2nd Stage Landing,,Jalahalli Boulevard,,118,26.53,688.92,16.95,705.87,QR scan
RD6134652415591987,20240620,04:54:57.542646,bike,completed,Kothanur Drive,,Rajarajeshwari Nagar Pointe,,85,6.93,588.81,10.77,599.5799999999999,Amazon Pay
RD8635944050857335,20240717,01:04:02.542646,bike,completed,HSR Layout Works,,Lingarajapuram Square,,109,3.77,366.99,17.58,384.57,GPay
RD3380849942480231,20240804,00:58:25.542646,bike,cancelled,RMV 2nd Stage 3rd Block,,Banerghatta Road Village,,21,34.97,,,,
RD0435446308407909,20240712,06:24:03.542646,bike lite,completed,Srirampura Run,,KR Puram Complex,,16,42.19,387.43,48.62,436.05,QR scan
RD6251184946210781,20240629,10:10:34.542646,cab economy,cancelled,Madivala Square,,Byatarayanapura Landing,,76,4.62,,,,
RD1806032245118073,20240815,10:28:22.542646,bike,completed,Yelahanka New Town Works,,Mahadevapura Quarry,,47,4.05,978.8,17.83,996.63,QR scan
RD1022118407665224,20240726,07:54:00.542646,auto,completed,Vijayanagar Boulevard,,Kodigehalli Crescent,,83,49.44,765.39,28.02,793.41,Amazon Pay
RD1581370576696450,20240727,21:44:36.542646,cab economy,completed,Kodigehalli Park,,Dooravani Nagar Garden,,69,47.73,256.86,25.15,282.01,GPay
RD8450674279635236,20240810,02:51:57.542646,bike,completed,Ramamurthy Nagar Bay,,Kumaraswamy Layout Square,,76,31.12,428.74,17.3,446.04,Paytm
RD6309443111140680,20240709,21:28:19.542646,cab economy,completed,Madivala Circle,,Srirampura Village,,62,34.04,94.02,33.83,127.85,Amazon Pay
RD7251101541817511,20240617,13:54:48.542646,bike,cancelled,Benson Town Arcade,,Doddaballapur Station,,46,21.47,,,,
RD7528615406219812,20240708,00:54:46.542646,cab economy,cancelled,Yeshwanthpur Passage,8.0,Kothanur Square,,72,32.07,,,,
RD2306698615891929,20240707,03:37:58.542646,parcel,completed,Basavanagudi Esplanade,,Doddanekundi Village,,116,43.2,294.61,30.79,325.40000000000003,GPay
RD2406982706817982,20240626,21:25:58.542646,bike lite,completed,Attibele Cove,,Chikkagubbi Side,,80,35.47,249.72,28.31,278.03,GPay
RD1063446832837928,20240708,16:44:12.542646,auto,completed,Nagawara Way,,Anekal 5th Block,,47,27.05,96.32,17.15,113.47,Paytm
RD8906309739869979,20240715,05:39:10.542646,bike,completed,Anekal Garden,,Babusapalya Pass,,57,42.29,784.6,46.95,831.5500000000001,QR scan
RD0661996021871137,20240719,09:22:47.542646,auto,completed,Chikkajala Promenade,,Sahakar Nagar Quay,,67,14.4,895.08,49.5,944.58,GPay
RD7481351134212520,20240811,20:37:40.542646,bike,cancelled,Giri Nagar 5th Stage,,HRBR Layout Pier,,65,24.24,,,,
RD5440556690792913,20240626,04:55:52.542646,bike,completed,Indiranagar Heights,3.0,Anjanapura Quarry,,23,9.52,617.49,30.74,648.23,Paytm
RD0833847880076187,20240627,22:12:03.542646,cab economy,cancelled,Srirampura Farms,,Doddakannelli Quarters,,47,40.77,,,,
RD3396547257701584,20240815,12:41:16.542646,bike,completed,Koramangala 7th Block Cove,5.0,BTM Layout Terrace,,28,31.3,497.55,36.56,534.11,Amazon Pay
RD5684967706313472,20240624,21:35:16.542646,auto,completed,ITI Layout Quarters,,Rajajinagar Commons,,42,49.84,544.4,17.8,562.1999999999999,Amazon Pay
RD4194820692246454,20240708,11:10:40.542646,bike,completed,Hennur Road Landing,,Adugodi 5th Block,,73,40.74,648.78,15.37,664.15,GPay
RD7816597851940003,20240717,18:27:47.542646,auto,completed,Jayanagar 4th Block,4.0,Kothaguda 2nd Block,,91,22.51,493.68,11.15,504.83,Paytm
RD8328883434181736,20240624,04:16:50.542646,bike,completed,BTM Layout Passage,,Mahadevapura Landing,,91,41.22,889.61,28.73,918.34,Amazon Pay
RD7450063577959044,20240710,04:09:15.542646,auto,completed,Tavarekere Park,,Banaswadi Vista,,61,36.1,749.29,37.42,786.7099999999999,Amazon Pay
RD8841623057419279,20240812,13:37:27.542646,parcel,completed,Avalahalli Sector,,Mysore Road Loop,,105,36.94,971.08,19.27,990.35,Amazon Pay
RD8531318458991953,20240703,23:48:47.542646,bike,completed,Adugodi Bay,,Rachenahalli 5th Stage,,20,17.6,113.62,20.72,134.34,GPay
RD9929093775154764,20240710,22:36:14.542646,cab economy,completed,Kothaguda Complex,,HSR Layout Complex,,95,8.31,810.85,15.09,825.94,Paytm
RD8000612415784099,20240815,04:48:00.542646,cab economy,completed,Ashok Nagar Bridge,,Hosur Road Landing,,110,2.82,985.22,40.4,1025.62,Paytm
RD7538921359056183,20240621,18:09:21.542646,cab economy,completed,Jakkasandra Yard,,ITI Layout Promenade,,97,15.94,891.99,25.11,917.1,Paytm
RD1099945174805933,20240701,08:53:29.542646,bike,completed,Basavanagudi Bridge,,Magadi Road Drive,,116,25.66,553.2,40.94,594.1400000000001,GPay
RD0322184638690144,20240627,11:41:13.542646,parcel,completed,Arekere Fork,,Bikasipura Drive,,37,49.06,228.76,34.81,263.57,Amazon Pay
RD9124159884865557,20240802,16:15:54.542646,cab economy,completed,Bellandur Woods,,Hennur Arc,,83,1.22,400.79,17.53,418.3200000000001,QR scan
RD8876779861287509,20240716,11:34:35.542646,auto,completed,Kothanur 2nd Block,,Ulsoor Valley,,78,32.13,591.79,14.33,606.12,QR scan
RD3200621968128393,20240719,17:00:31.542646,auto,cancelled,Anekal Vista,,Kumaraswamy Layout Cutting,,78,4.1,,,,
RD3298911371382578,20240709,22:38:41.542646,bike,cancelled,Sanjay Nagar Colony,,Hulimavu Court,,19,21.75,,,,
RD9198038078566151,20240709,19:07:13.542646,auto,completed,Naganathapura 5th Block,,Madiwala Zone,,101,39.3,791.64,35.17,826.81,QR scan
RD0825756492630499,20240704,13:29:57.542646,bike lite,completed,Avalahalli 1st Stage,,Whitefield Cove,7.0,114,34.78,982.46,31.5,1013.96,QR scan
RD8082104368435073,20240721,05:38:40.542646,parcel,completed,Nagwara Farms,,Doddakannelli Place,,17,29.25,978.55,27.65,1006.2,GPay
RD4995727880339172,20240709,16:37:33.542646,cab economy,completed,Kumaraswamy Layout Enclave,,Nayandahalli Dam,,113,9.81,896.52,41.97,938.49,Amazon Pay
RD9587343329232105,20240812,04:38:47.542646,parcel,completed,Avalahalli Quay,,Chikkabellandur Commons,,13,3.96,271.08,21.19,292.27,QR scan
RD0196218220127974,20240706,23:40:19.542646,auto,completed,Mahadevapura Colony,,RMV 2nd Stage Township,,118,40.17,516.7,34.82,551.5200000000001,GPay
RD4370142322524324,20240620,23:04:57.542646,auto,completed,Koramangala Pass,5.0,Rajajinagar Plaza,,11,4.8,792.59,25.26,817.85,GPay
RD6122391100446857,20240816,19:41:18.542646,cab economy,completed,Hebbal Cove,2.0,HRBR Layout Township,,87,43.14,590.78,25.99,616.77,Amazon Pay
RD9453082414861530,20240617,13:18:41.542646,parcel,completed,Tavarekere 1st Block,,Electronic City Promenade,1.0,32,41.05,55.86,7.88,63.74,Amazon Pay
RD2238329909604667,20240808,07:28:30.542646,auto,completed,Jayanagar Park,4.0,KR Puram Vista,,93,28.12,616.02,30.98,647.0,Amazon Pay
RD8197897547558903,20240813,08:06:17.542646,cab economy,completed,Madivala Viewpoint,,BTM Layout Pier,,68,4.26,915.16,2.36,917.52,QR scan
RD7991971558296182,20240619,01:52:27.542646,auto,completed,ITI Layout Extension,,Ramamurthy Nagar 4th Stage,,100,24.52,648.91,11.48,660.39,QR scan
RD2060994594912255,20240807,05:24:49.542646,bike,completed,Banashankari Landing,,Anjanapura Sector,,115,40.59,495.54,39.71,535.25,GPay
RD2113530102067044,20240807,03:02:03.542646,bike lite,completed,Vidyaranyapura Pointe,,Chikkajala Cross,,108,38.26,330.12,20.71,350.83,QR scan
RD7452361731925978,20240720,14:35:15.542646,auto,completed,Doddaballapur Works,,Balagere Grove,,106,2.0,801.81,23.83,825.64,GPay
RD3631715730301864,20240626,13:05:15.542646,bike,completed,Madiwala Side,,Rajajinagar Farms,,112,18.11,447.52,10.69,458.21,Paytm
RD7185030106312139,20240802,10:37:56.542646,auto,completed,Bikasipura Cut,,Horamavu Lane,,23,5.47,766.77,24.29,791.06,QR scan
RD3799852520260606,20240802,08:50:07.542646,cab economy,completed,Kudlu 2nd Block,,Byatarayanapura Fork,,84,23.25,508.58,7.92,516.5,Paytm
RD8766072152996157,20240707,13:58:00.542646,bike,completed,Gottigere Quarters,,Kalena Agrahara View,,61,44.1,167.33,10.72,178.05,Paytm
RD4811820731711201,20240808,06:05:07.542646,bike,completed,Doddakannelli Township,,Nagarbhavi Meadows,,69,39.58,97.72,17.82,115.54,QR scan
RD6036340900532080,20240808,05:04:37.542646,cab economy,completed,Nagarbhavi Court,,Kodigehalli Valley,,39,18.8,225.42,33.67,259.09,Paytm
RD6835064895109550,20240731,04:07:25.542646,cab economy,completed,Arekere 3rd Stage,,Vidyaranyapura Track,,97,7.41,605.22,6.23,611.45,QR scan
RD7538653646680457,20240804,14:07:26.542646,cab economy,completed,Chikkajala Way,,Mahadevapura Pass,,101,24.53,229.71,2.98,232.69,Amazon Pay
RD0676588653995072,20240617,09:03:30.542646,auto,completed,Pai Layout 4th Block,,Kanakapura Hills,,72,45.48,961.53,18.5,980.03,Paytm
RD0647897326735361,20240804,16:32:51.542646,auto,completed,Rajarajeshwari Nagar 5th Block,,Banashankari Crescent,,23,4.0,468.33,4.44,472.77,QR scan
RD7444230198460381,20240814,10:08:41.542646,cab economy,completed,Nagasandra Square,,Hebbal Meadows,2.0,20,13.05,323.85,20.43,344.28000000000003,QR scan
RD2234041787198763,20240625,21:42:08.542646,parcel,completed,Kalyan Nagar Nagar,,Doddakannelli Alley,,80,39.73,418.63,32.15,450.78,Amazon Pay
RD0087131202572477,20240808,08:00:59.542646,bike lite,completed,Ramamurthy Nagar Lane,,Chikkabellandur View,,51,23.94,353.02,29.72,382.74,Paytm
RD0999620804210363,20240719,00:21:52.542646,cab economy,cancelled,Subbanna Palya Garden,,Doddanekundi Valley,,16,12.38,,,,
RD5125115624070536,20240728,08:30:23.542646,parcel,completed,ITI Layout Passage,,Hennur Nagar,,99,10.03,857.43,22.12,879.55,Paytm
RD2124185447891144,20240728,19:00:50.542646,auto,cancelled,Srirampura 2nd Block,,HSR Layout 5th Block,,39,26.86,,,,
RD8407691433770221,20240703,12:17:15.542646,auto,completed,HSR Layout Garden,,Kundalahalli Works,,51,16.7,252.7,19.83,272.53,Paytm
RD0342890508626345,20240808,17:54:03.542646,bike,completed,Agrahara Layout Extension,,Bommanahalli Garden,,106,39.89,461.06,4.4,465.46,QR scan
RD6599545630144691,20240801,04:59:04.542646,parcel,completed,Chikkalasandra 4th Block,,Doddakannelli 2nd Block,,52,15.52,166.99,9.1,176.09,Paytm
RD0657251815241681,20240812,15:06:59.542646,auto,completed,Kadugodi Plaza,,Jalahalli Run,,75,21.65,678.76,44.83,723.59,GPay
RD2642530389311250,20240703,23:23:02.542646,parcel,completed,Ganganagar Colony,,Kanakapura Township,,34,6.73,155.63,31.95,187.58,QR scan
RD6879448042169096,20240720,22:43:04.542646,bike,completed,Billekahalli Station,,Vidyaranyapura Track,,81,25.25,998.01,23.52,1021.53,GPay
RD7564541425248758,20240622,17:03:45.542646,parcel,completed,Dommasandra Place,,Kasavanahalli Cove,,99,33.41,160.8,19.18,179.98000000000002,QR scan
RD6945361519810087,20240629,20:14:40.542646,bike,completed,Bhadrappa Layout Village,,Hulimavu Meadows,,41,31.5,655.54,19.08,674.62,QR scan
RD6738172443504355,20240803,16:24:58.542646,auto,completed,Basaveshwaranagar Zone,,Attibele Alcove,,75,39.99,307.28,45.39,352.67,Paytm
RD9989130009931360,20240720,20:44:06.542646,bike,completed,Kothaguda 1st Block,,Bommanahalli 3rd Stage,,44,6.38,677.17,31.69,708.86,Amazon Pay
RD6780140286015691,20240803,13:28:37.542646,auto,completed,Nagawara 6th Block,,Domlur Garden,,19,7.71,986.68,16.71,1003.39,QR scan
RD9153450028232881,20240803,15:37:18.542646,auto,completed,Dooravani Nagar Fork,,Madiwala 6th Block,,85,8.2,509.83,27.02,536.85,Paytm
RD7257307946078527,20240813,00:25:06.542646,cab economy,completed,Chikkagubbi Pass,,Banashankari Pointe,,79,20.51,687.43,36.2,723.63,Amazon Pay
RD4730093141536366,20240627,08:51:49.542646,cab economy,completed,BTM Layout Crescent,,Bhuvaneshwari Nagar Yard,,99,28.38,581.27,17.61,598.88,QR scan
RD0753215620615800,20240626,02:50:32.542646,bike,completed,Attibele Way,,Tavarekere Bridge,,59,18.1,100.53,19.05,119.58,Amazon Pay
RD8614462133834901,20240726,01:49:24.542646,auto,completed,Amruthahalli Park,,RT Nagar Area,,102,31.55,366.99,21.06,388.05,Paytm
RD7917677715019326,20240726,09:42:23.542646,cab economy,completed,Nagwara 2nd Stage,,Nandini Layout Pass,,38,38.14,230.55,2.33,232.88,GPay
RD2350523900589184,20240816,16:06:27.542646,auto,cancelled,Horamavu Meadows,,Doddakannelli Heights,,114,16.31,,,,
RD5590527143323864,20240717,13:50:30.542646,parcel,completed,Horamavu Cove,,Nandini Layout Lane,,82,40.71,777.58,25.98,803.5600000000001,GPay
RD1979895748800973,20240808,08:18:37.542646,parcel,completed,Whitefield Village,7.0,Hennur Square,,51,14.27,804.81,40.66,845.4699999999999,Amazon Pay
RD3266254485089305,20240715,13:36:00.542646,parcel,completed,HSR Layout Dam,,Domlur Commons,,50,15.38,714.35,47.59,761.94,Paytm
RD7127683974262860,20240722,19:54:53.542646,bike,completed,Rajarajeshwari Nagar Close,,Chikkalasandra View,,76,33.82,170.13,5.58,175.71,Amazon Pay
RD6947550451018868,20240621,17:22:11.542646,bike lite,cancelled,Doddanekundi Grove,,Sahakar Nagar Valley,,72,19.53,,,,
RD0570304215800388,20240623,06:53:18.542646,auto,completed,Munnekollal Close,,Hosur Sarjapur Road Layout Viewpoint,,48,28.63,994.38,33.16,1027.54,GPay
RD9780307992364308,20240625,21:47:59.542646,bike,completed,Balagere Arc,,Hebbal Cutting,2.0,15,45.84,703.7,44.75,748.45,Paytm
RD6416274975829550,20240704,16:02:14.542646,cab economy,completed,Hosur Village,,Kaval Byrasandra 5th Stage,,15,6.8,805.11,37.72,842.83,Amazon Pay
RD9290976614019823,20240709,21:14:53.542646,bike,cancelled,Ulsoor Court,,Malleshwaram Arcade,,21,19.91,,,,
RD2984558095911500,20240729,13:07:59.542646,bike,completed,Subbanna Palya 1st Block,,Pai Layout Road,,80,9.59,980.75,36.33,1017.08,GPay
RD0703372253522834,20240716,10:47:12.542646,bike,completed,Benniganahalli 3rd Stage,,Bellandur Outer Ring Road Bay,,77,36.43,572.73,30.48,603.21,Paytm
RD6509972678420429,20240801,20:32:38.542646,auto,completed,Hosur Fields,,MG Road Nagar,,44,18.36,190.89,27.48,218.37,GPay
RD4141940311331944,20240810,20:43:39.542646,bike,completed,Koramangala Colony,5.0,Madivala Depot,,53,14.25,356.71,41.1,397.81,Paytm
RD6637191193153117,20240703,19:52:57.542646,bike lite,completed,Rajarajeshwari Nagar Ridge,,Dr. Shivaram Karanth Nagar Mews,,88,21.02,912.19,38.55,950.74,QR scan
RD4956738533627498,20240702,20:35:24.542646,parcel,completed,Kengeri Trail,,Vidyaranyapura Layout,,99,24.08,345.32,7.68,353.0,Amazon Pay
RD6545086814164281,20240714,01:47:39.542646,auto,completed,Bommanahalli 3rd Stage,,Koramangala 4th Block Arcade,5.0,118,15.27,872.68,25.46,898.14,QR scan
RD3817880976303420,20240721,14:33:02.542646,bike,completed,RT Nagar Township,,Nagawara Commons,,111,29.71,262.92,7.15,270.07,QR scan
RD7828961357364981,20240630,08:09:04.542646,bike,completed,Kengeri 4th Stage,,Bhadrappa Layout Valley,,118,35.3,932.72,38.19,970.91,GPay
